Gene ID,Gene Name,SRR975564,SRR975565,SRR975566,SRR975569,SRR975570,SRR975571,SRR975597,SRR975598,SRR975599
ENSG00000163623,NKX6-1,2,0,0,0,0,0,0,0,0
ENSG00000163624,CDS1,888,538,526,2175,749,1695,352,562,195
ENSG00000163625,WDFY3,560,504,696,1176,412,1223,297,341,212
ENSG00000163626,COX18,440,383,356,367,131,400,342,248,144
ENSG00000163629,PTPN13,530,652,96,312,77,310,157,272,136
ENSG00000163630,SYNPR,0,14,93,4,1,7,1,0,0
ENSG00000163631,ALB,23,185,15,2248,117,304,57872,66253,39244
ENSG00000163632,C3orf49,1,2,1,4,1,5,2,4,2
ENSG00000163633,C4orf36,58,149,39,201,85,142,48,91,54
ENSG00000163634,THOC7,641,950,452,735,291,737,629,1087,293
ENSG00000163635,ATXN7,455,732,305,902,291,802,406,604,183
ENSG00000163636,PSMD6,1250,1698,721,1174,460,1369,1067,1436,384
ENSG00000163637,PRICKLE2,68,129,55,213,63,233,27,201,11
ENSG00000163638,ADAMTS9,332,463,451,172,49,317,127,82,48
ENSG00000163644,PPM1K,193,56,70,295,74,274,78,90,57
ENSG00000163645,ERICH6,1,2,1,0,0,1,1,2,0
ENSG00000163646,CLRN1,0,0,0,0,0,0,0,0,0
ENSG00000163655,GMPS,1656,1703,930,994,340,1063,1197,1864,334
ENSG00000163659,TIPARP,484,414,225,873,268,773,222,494,120
ENSG00000163660,CCNL1,867,1442,824,1713,516,1924,1268,1196,458
ENSG00000163661,PTX3,15,11,24,50,12,74,5,2,3
ENSG00000163666,HESX1,2,3,5,6,3,9,6,1,3
ENSG00000163673,DCLK3,24,27,20,1,5,10,2,7,5
ENSG00000163681,SLMAP,1386,839,808,1936,729,1979,980,1017,301
ENSG00000163682,RPL9,10500,9720,5504,10545,5178,14214,10720,6482,4021
ENSG00000163683,SMIM14,1162,1964,879,5293,2198,3040,1244,819,229
ENSG00000163684,RPP14,487,367,247,545,200,537,371,431,160
ENSG00000163686,ABHD6,191,134,179,331,175,569,272,247,99
ENSG00000163687,DNASE1L3,38,97,32,606,188,721,169,163,16
ENSG00000163689,C3orf67,41,92,18,69,10,9,7,91,44
ENSG00000163694,RBM47,4087,3191,2145,8493,3185,8846,3042,2297,571
ENSG00000163697,APBB2,708,349,1287,536,186,706,317,362,179
ENSG00000163701,IL17RE,653,883,420,1411,588,915,677,1428,1019
ENSG00000163702,IL17RC,349,339,140,565,241,609,377,681,205
ENSG00000163703,CRELD1,622,661,268,433,232,686,393,763,428
ENSG00000163704,PRRT3,27,24,22,35,10,43,28,17,27
ENSG00000163705,FANCD2OS,0,1,0,0,0,0,0,2,0
ENSG00000163710,PCOLCE2,20,1,1,252,47,634,13,11,28
ENSG00000163714,U2SURP,1984,3266,1409,2785,841,2410,2094,1859,620
ENSG00000163719,MTMR14,701,973,502,934,375,1106,607,927,338
ENSG00000163728,TTC14,330,423,251,965,326,839,344,421,143
ENSG00000163734,CXCL3,1696,620,438,318,27,410,82,324,162
ENSG00000163735,CXCL5,3044,893,13,61,5,108,11,16,7
ENSG00000163736,PPBP,8,25,36,0,0,2,2,14,4
ENSG00000163737,PF4,12,104,13,5,3,12,12,16,3
ENSG00000163738,MTHFD2L,171,216,97,190,62,170,143,135,59
ENSG00000163739,CXCL1,2837,998,293,302,46,793,131,399,125
ENSG00000163743,RCHY1,517,445,332,943,350,792,384,325,188
ENSG00000163746,PLSCR2,4,1,0,10,2,13,0,51,1
ENSG00000163749,CCDC158,3,7,1,33,5,15,9,3,5
ENSG00000163751,CPA3,107,244,294,1036,115,843,38,5,12
ENSG00000163754,GYG1,506,802,424,417,173,552,400,799,276
ENSG00000163755,HPS3,328,760,454,539,205,555,384,579,162
ENSG00000163762,TM4SF18,91,140,156,53,24,135,50,25,25
ENSG00000163781,TOPBP1,872,1309,823,1125,351,1075,1019,1025,359
ENSG00000163785,RYK,776,1007,571,1177,450,1106,682,1020,316
ENSG00000163788,SNRK,480,529,563,1061,418,1285,363,418,213
ENSG00000163792,TCF23,1,2,1,10,5,11,1,4,1
ENSG00000163793,DNAJC5G,0,0,0,1,0,1,0,0,0
ENSG00000163794,UCN,1,17,3,0,0,1,6,10,11
ENSG00000163795,ZNF513,379,89,289,320,158,464,399,597,244
ENSG00000163798,SLC4A1AP,491,766,421,728,298,782,416,568,205
ENSG00000163803,PLB1,12,43,136,159,33,60,72,72,34
ENSG00000163806,SPDYA,2,13,6,15,1,10,3,18,1
